CAMERA ID,LOCATION,LATITUDE,LONGITUDE,VIOLATIONS 2014,VIOLATIONS 2015,VIOLATIONS 2016,VIOLATIONS 2017,VIOLATIONS 2018
1413.0,"(41.94024119325571, -87.63963911427594)",41.940241193,-87.63963911399999,7399,15274.0,27465.0,24848.0,20748.0
2251.0,"(41.81672938674739, -87.74353671247594)",41.816729386999995,-87.74353671200001,5466,13053.0,19577.0,16638.0,15807.0
2052.0,"(41.87606477642526, -87.68641563098768)",41.876064776,-87.686415631,5021,8430.0,13155.0,11501.0,11477.0
1514.0,"(41.93220539506452, -87.6976792438691)",41.932205395,-87.697679244,4646,8195.0,11895.0,10156.0,10220.0
2654.0,"(41.75085209551078, -87.62446383210285)",41.750852095999996,-87.624463832,3608,7806.0,11593.0,7715.0,10119.0
1344.0,"(41.98564979859328, -87.65533580655139)",41.985649799,-87.65533580700001,3428,6546.0,10220.0,7556.0,8680.0
2751.0,"(41.9944500041165, -87.71420843920934)",41.994450004,-87.71420843899999,3133,6301.0,9418.0,7331.0,7911.0
1721.0,"(41.91614728095272, -87.66794735350443)",41.916147281,-87.66794735399999,3094,5962.0,8800.0,7029.0,7340.0
2081.0,"(41.798558278193305, -87.74307186616427)",41.798558278,-87.74307186600001,3056,5758.0,7686.0,6582.0,7056.0
1711.0,"(41.90369830765008, -87.64824535062563)",41.903698308,-87.648245351,2948,5720.0,7069.0,6253.0,6255.0
2503.0,"(41.736376036604916, -87.62562131092602)",41.736376037,-87.625621311,2582,5449.0,6863.0,5880.0,5937.0
2562.0,"(41.744151639041974, -87.58594506695293)",41.744151639,-87.58594506700001,2237,4998.0,6745.0,5568.0,5802.0
2264.0,"(41.79467038468937, -87.63054747605638)",41.794670385,-87.630547476,2230,4955.0,6489.0,5065.0,5505.0
1372.0,"(41.93935173030961, -87.70784659359776)",41.93935173,-87.707846594,2228,4808.0,6229.0,4637.0,5482.0
2513.0,"(41.72244945701069, -87.58500356910938)",41.722449456999996,-87.585003569,2181,4638.0,6179.0,4444.0,5152.0
2234.0,"(41.86726309836901, -87.64697268601648)",41.867263098,-87.646972686,2099,4378.0,6103.0,4435.0,5007.0
1671.0,"(41.92493594409127, -87.68779025471278)",41.924935944,-87.687790255,1957,4354.0,5309.0,4407.0,4860.0
2182.0,"(41.79158020433135, -87.58556421519536)",41.791580204,-87.585564215,1889,4079.0,4784.0,4400.0,4456.0
2631.0,"(41.75689717260223, -87.58623428506996)",41.756897173,-87.586234285,1885,3717.0,4689.0,4239.0,4411.0
1951.0,"(41.891044569124276, -87.620371839074)",41.891044569,-87.620371839,1813,3415.0,4457.0,4178.0,4170.0
1562.0,"(41.94681991986288, -87.68840666206194)",41.94681992,-87.688406662,1781,3405.0,4391.0,4124.0,4104.0
2212.0,"(41.79337055433029, -87.6841753767592)",41.793370554,-87.684175377,1728,3205.0,4055.0,3748.0,3813.0
1651.0,"(41.92519388981048, -87.66829436339881)",41.92519389,-87.66829436299999,1720,3200.0,3993.0,3741.0,3791.0
2204.0,"(41.80772701677172, -87.74322936566276)",41.807727017,-87.74322936600001,1661,3170.0,3960.0,3656.0,3730.0
2044.0,"(41.88048075170171, -87.75513043296509)",41.880480752,-87.75513043299999,1593,3114.0,3910.0,3565.0,3690.0
1524.0,"(41.92370819286044, -87.79530078123082)",41.923708193,-87.79530078100001,1588,3032.0,3894.0,3275.0,3667.0
1263.0,"(41.99024418564742, -87.7287143910091)",41.990244186,-87.728714391,1563,3020.0,3888.0,3213.0,3610.0
1881.0,"(41.88528263580913, -87.72106953854511)",41.885282636,-87.721069539,1505,3019.0,3826.0,3170.0,3483.0
1663.0,"(41.92513494374925, -87.67796354553815)",41.925134944,-87.677963546,1505,2984.0,3783.0,3158.0,3350.0
2412.0,"(41.73600656458518, -87.64534181897955)",41.736006565,-87.645341819,1482,2958.0,3767.0,3142.0,3323.0
1621.0,"(41.93244536200095, -87.6685428496422)",41.932445361999996,-87.66854285,1472,2920.0,3731.0,2880.0,3223.0
2624.0,"(41.75807411097799, -87.62467165835182)",41.758074111,-87.624671658,1386,2838.0,3701.0,2866.0,3209.0
1652.0,"(41.92519388981048, -87.66829436339881)",41.92519389,-87.66829436299999,1378,2798.0,3610.0,2838.0,3143.0
2252.0,"(41.81672938674739, -87.74353671247594)",41.816729386999995,-87.74353671200001,1359,2745.0,3584.0,2832.0,3028.0
1891.0,"(41.88187970991601, -87.7454892473012)",41.88187971,-87.74548924700001,1349,2679.0,3545.0,2807.0,3015.0
2233.0,"(41.86726309836901, -87.64697268601648)",41.867263098,-87.646972686,1345,2518.0,3506.0,2796.0,3009.0
2502.0,"(41.73616511008592, -87.62558756899932)",41.73616511,-87.62558756899999,1344,2518.0,3488.0,2674.0,2965.0
1051.0,"(41.98929863013193, -87.67010412112992)",41.98929863,-87.67010412100001,1327,2503.0,3468.0,2671.0,2935.0
2632.0,"(41.75689717260223, -87.58623428506996)",41.756897173,-87.586234285,1316,2484.0,3411.0,2618.0,2856.0
1002.0,"(41.85198383957328, -87.68578570420526)",41.85198384,-87.685785704,1299,2475.0,3352.0,2615.0,2820.0
2454.0,"(41.735898617066006, -87.66312878090133)",41.735898617,-87.663128781,1290,2335.0,3311.0,2613.0,2815.0
2514.0,"(41.72244945701069, -87.58500356910938)",41.722449456999996,-87.585003569,1289,2324.0,3291.0,2613.0,2794.0
1734.0,"(41.903298792681944, -87.67738324739636)",41.903298793000005,-87.67738324700001,1287,2276.0,3224.0,2595.0,2789.0
2721.0,"(41.77329289585066, -87.58644236831432)",41.773292896,-87.586442368,1280,2274.0,3071.0,2483.0,2789.0
2073.0,"(41.79245525550523, -87.78187684987694)",41.792455256,-87.78187685,1276,2272.0,3064.0,2454.0,2775.0
2731.0,"(41.77325148959568, -87.58522459967712)",41.77325149,-87.58522459999999,1275,2252.0,2983.0,2381.0,2757.0
1122.0,"(41.99821792053241, -87.6606952555721)",41.998217921,-87.660695256,1271,2190.0,2982.0,2372.0,2729.0
2294.0,"(41.867362692616666, -87.63929319464197)",41.867362693000004,-87.639293195,1267,2177.0,2960.0,2335.0,2610.0
2612.0,"(41.76460891223613, -87.68338705328121)",41.764608912,-87.68338705299999,1263,2170.0,2940.0,2335.0,2597.0
2431.0,"(41.714118868089905, -87.64314540818165)",41.714118868,-87.643145408,1259,2152.0,2793.0,2323.0,2596.0
1221.0,"(41.961401846278505, -87.6888326227788)",41.961401846,-87.688832623,1229,2151.0,2720.0,2300.0,2558.0
2433.0,"(41.71432333701137, -87.64306671421937)",41.714323336999996,-87.643066714,1229,2108.0,2714.0,2294.0,2552.0
1963.0,"(41.896744346875806, -87.63132124815151)",41.896744346999995,-87.63132124799999,1208,2104.0,2685.0,2249.0,2481.0
2074.0,"(41.79245525550523, -87.78187684987694)",41.792455256,-87.78187685,1205,2098.0,2667.0,2241.0,2471.0
1523.0,"(41.92370819286044, -87.79530078123082)",41.923708193,-87.79530078100001,1191,2030.0,2631.0,2200.0,2460.0
2413.0,"(41.73615754630335, -87.64542740049411)",41.736157546,-87.6454274,1171,2028.0,2624.0,2191.0,2427.0
